task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
177	86/e7e04d	100410	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-23 17:19:29.535	1.7s	0ms	153.0%	3.1 MB	5.4 MB	91.8 KB	3.9 KB
178	3e/e86783	100658	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5556343)	COMPLETED	0	2023-10-23 17:19:31.227	2.8s	0ms	129.7%	2.8 MB	11 MB	77.4 KB	30.1 KB
179	dd/b27bea	100880	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-23 17:19:33.991	1.7s	0ms	536.9%	3.1 MB	5.4 MB	91.6 KB	3.8 KB
180	0c/bbe969	101130	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5743893)	COMPLETED	0	2023-10-23 17:19:35.708	2.7s	0ms	133.3%	2.8 MB	11 MB	77.4 KB	30.1 KB
181	0d/7b29b8	101352	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-23 17:19:38.436	1.8s	0ms	266.7%	3.1 MB	5.4 MB	90.5 KB	3.8 KB
182	1c/6ee5f2	101602	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5181310)	COMPLETED	0	2023-10-23 17:19:40.195	2.7s	0ms	82.1%	2.8 MB	11 MB	77.4 KB	30.1 KB
183	f8/603321	101825	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-23 17:19:42.936	1.7s	0ms	615.4%	3.1 MB	5.4 MB	92 KB	3.5 KB
184	e4/98ed09	102074	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:MAKE_VARIANTS_LONG_TABLE	COMPLETED	0	2023-10-23 17:19:44.665	4.1s	2s	134.2%	88.8 MB	2.1 GB	11 MB	17.2 KB
185	33/abcef1	102443	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SRR13500958)	COMPLETED	0	2023-10-23 17:19:48.805	1.8s	0ms	773.3%	3.1 MB	5.4 MB	148.7 KB	60.1 KB
186	a8/6bf669	102697	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5405022)	COMPLETED	0	2023-10-23 17:19:50.569	1.8s	0ms	298.0%	3.1 MB	5.4 MB	149.2 KB	60.2 KB
